restaurant_name,n_reviews,average_rating,restaurant_address,zip_code,price_level,restaurant_url,Take_out,Credit_Cards,Reservations,Outdoor,Pets,Walkins,Parkings,Delivery,Wheelchair,Group,Vegetarian,Casual,Classy,Catering,Cuisine_1,Cuisine_2,Cuisine_3
Dortee's Drive In,6,3.5,"1101 N Harrison St Alexandria, IN 46001",46001,0,https://www.yelp.com/biz/dortees-drive-in-alexandria?osq=Restaurants,1,1,0,0,0,0,0,0,0,0,0,0,0,0,American,,
Tillies Icon,8,4.1,"724 W Washington St Alexandria, IN 46001",46001,1,https://www.yelp.com/biz/tillies-icon-alexandria?osq=Restaurants,1,0,1,1,1,0,0,0,0,0,0,0,0,0,Bars,Barbeque,
El Chile Poblano,20,3.7,"2205 S Park Ave Ste 2 Alexandria, IN 46001",46001,0,https://www.yelp.com/biz/el-chile-poblano-alexandria?osq=Restaurants,1,1,0,0,1,1,1,0,0,0,1,0,0,1,Mexican,,
Great Wall Chinese Restaurant,8,4.3,"1218 N Park Ave Alexandria, IN 46001",46001,0,https://www.yelp.com/biz/great-wall-chinese-restaurant-alexandria?osq=Restaurants,0,0,0,0,1,0,0,1,1,1,0,0,0,1,Chinese,,
Small Bites Bistro,1,4,"409 W Washington St Alexandria, IN 46001",46001,2,https://www.yelp.com/biz/small-bites-bistro-alexandria?osq=Restaurants,1,1,1,1,1,0,0,0,0,1,1,0,0,0,Salad,Soup,Sandwiches
Sunshine and Cinnamon Cafe,8,5,"120 W Cleveland St Alexandria, IN 46001",46001,2,https://www.yelp.com/biz/sunshine-and-cinnamon-cafe-alexandria?osq=Restaurants,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Cafes,Bakeries,Cupcakes
The Curve,19,4.3,"114 S Park Ave Alexandria, IN 46001",46001,0,https://www.yelp.com/biz/the-curve-alexandria-2?osq=Restaurants,1,1,0,0,0,0,1,0,1,0,0,0,0,0,American,,
1925 PubHouse,53,4.7,"1905 Northshore Ext Anderson, IN 46011",46011,2,https://www.yelp.com/biz/1925-pubhouse-anderson?osq=Restaurants,1,1,1,1,0,0,0,1,0,0,1,0,0,1,American,,
Bonge's Tavern,199,4.4,"9830 W 280th N Perkinsville, IN 46011",46011,0,https://www.yelp.com/biz/bonges-tavern-perkinsville?osq=Restaurants,0,1,1,0,0,1,0,0,0,0,0,0,0,1,New American,Pubs,
Bobber's Cafe,54,4.6,"1117 Alexandria Pike Anderson, IN 46012",46012,1,https://www.yelp.com/biz/bobbers-cafe-anderson?osq=Restaurants,1,0,0,0,0,0,1,0,1,0,1,0,0,1,American,Breakfast & Brunch,
Blaze Brew Pub,6,3.8,"1920 E 53rd St Anderson, IN 46013",46013,2,https://www.yelp.com/biz/blaze-brew-pub-anderson?osq=Restaurants,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Breweries,American,Sports Bars
Homestretch Steakhouse,17,3.8,"4500 Dan Patch Cir Anderson, IN 46013",46013,3,https://www.yelp.com/biz/homestretch-steakhouse-anderson?osq=Restaurants,1,0,1,1,1,0,0,0,0,0,1,0,0,0,Steakhouses,,
Thai Divine,13,4.8,"4304 S Scatterfield Rd Anderson, IN 46013",46013,0,https://www.yelp.com/biz/thai-divine-anderson?osq=Restaurants,1,0,0,1,0,0,1,1,1,0,0,0,0,1,Thai,Desserts,Seafood
KFC,10,3.2,"6620 S Scatterfield Rd Anderson, IN 46013",46013,1,https://www.yelp.com/biz/kfc-anderson-11,1,1,0,0,0,0,0,1,0,1,0,0,0,0,Fast Food,Chicken Wings,Chicken Shop
Montana Mike's Steakhouse,114,3.7,"6370 S Scatterfield Rd Anderson, IN 46013",46013,2,https://www.yelp.com/biz/montana-mikes-steakhouse-anderson?osq=Restaurants,1,0,1,0,0,1,0,0,1,0,0,0,0,0,American,Steakhouses,Sandwiches
Panda Express,10,2.4,"4688 S. Scatterfield Rd. Anderson, IN 46013",46013,1,https://www.yelp.com/biz/panda-express-anderson-4,1,1,0,0,0,0,1,1,1,0,0,0,0,0,Chinese,Fast Food,
