zip_code,neighbor
46011,46012
46011,46013
46011,46014
46011,46015
46011,46016
46011,46017
46011,46018
46012,46013
46012,46014
46012,46015
46012,46016
46012,46017
46012,46018
46013,46014
46013,46015
46013,46016
46013,46017
46013,46018
46014,46015
46014,46016
46014,46017
46014,46018
46015,46016
46015,46017
46015,46018
46016,46017
46016,46018
46017,46018
47401,47402
47401,47403
47401,47404
47401,47405
47401,47406
47401,47407
47401,47408
47401,47490
47402,47403
47402,47404
47402,47405
47402,47406
47402,47407
47402,47408
47402,47490
47403,47404
47403,47405
47403,47406
47403,47407
47403,47408
47403,47490
47404,47405
47404,47406
47404,47407
47404,47408
47404,47490
47405,47406
47405,47407
47405,47408
47405,47490
47406,47407
47406,47408
47406,47490
47407,47408
47407,47490
47408,47490
46032,46033
46032,46082
46033,46082
47201,47202
47201,47203
47202,47203
47933,47934
47933,47935
47933,47936
47933,47937
47933,47938
47933,47939
47934,47935
47934,47936
47934,47937
47934,47938
47934,47939
47935,47936
47935,47937
47935,47938
47935,47939
47936,47937
47936,47938
47936,47939
47937,47938
47937,47939
47938,47939
46307,46308
46514,46515
46514,46516
46514,46517
46515,46516
46515,46517
46516,46517
47701,47702
47701,47703
47701,47704
47701,47705
47701,47706
47701,47708
47701,47710
47701,47711
47701,47712
47701,47713
47701,47714
47701,47715
47701,47716
47701,47719
47701,47720
47701,47721
47701,47722
47701,47724
47701,47725
47701,47727
47701,47728
47701,47730
47701,47731
47701,47732
47701,47733
47701,47734
47701,47735
47701,47736
47701,47737
47701,47739
47701,47740
47701,47741
47701,47744
47701,47747
47701,47750
47702,47703
47702,47704
47702,47705
47702,47706
47702,47708
47702,47710
47702,47711
47702,47712
47702,47713
47702,47714
47702,47715
47702,47716
47702,47719
47702,47720
47702,47721
47702,47722
47702,47724
47702,47725
47702,47727
47702,47728
47702,47730
47702,47731
47702,47732
47702,47733
47702,47734
47702,47735
47702,47736
47702,47737
47702,47739
47702,47740
47702,47741
47702,47744
47702,47747
47702,47750
47703,47704
47703,47705
47703,47706
47703,47708
47703,47710
47703,47711
47703,47712
47703,47713
47703,47714
47703,47715
47703,47716
47703,47719
47703,47720
47703,47721
47703,47722
47703,47724
47703,47725
47703,47727
47703,47728
47703,47730
47703,47731
47703,47732
47703,47733
47703,47734
47703,47735
47703,47736
47703,47737
47703,47739
47703,47740
47703,47741
47703,47744
47703,47747
47703,47750
47704,47705
47704,47706
47704,47708
47704,47710
47704,47711
47704,47712
47704,47713
47704,47714
47704,47715
47704,47716
47704,47719
47704,47720
47704,47721
47704,47722
47704,47724
47704,47725
47704,47727
47704,47728
47704,47730
47704,47731
47704,47732
47704,47733
47704,47734
47704,47735
47704,47736
47704,47737
47704,47739
47704,47740
47704,47741
47704,47744
47704,47747
