attraction_name,attraction_address,zip_code,attraction_rating,attraction_n_reviews,attraction_url,description,top_review,ID
World's Largest Ball of Paint,"10696 N 200 W, Alexandria, IN 46001-8592",46001,5,23,https://www.tripadvisor.com/Attraction_Review-g29307-d10445336-Reviews-World_s_Largest_Ball_of_Paint-Alexandria_Indiana.html,World's Largest Ball of Paint,Stopped on our way back to Michigan because of the geocache located here.  I was with my elderly mom and we both had a great time.  Painted a layer of red on the ball.  It was nice to get the geocache but even better to experience the painting and the conversation with the owner.  Loved getting the certificate!    Definitely worth the stop!,281
Railroad Escapes,"302 N West St Suite 300, Alexandria, IN 46001-1711",46001,5,3,https://www.tripadvisor.com/Attraction_Review-g29307-d23944940-Reviews-Railroad_Escapes-Alexandria_Indiana.html,Railroad Escapes is proud to be the only permanent escape room in Madison County! Come experience the thrill of an escape adventure!,We played both rooms back to back. You can tell the creators are passionate and really care about this. Especially impressed by Archibald's Inheritance - impressive puzzles and intricate designs all packed into a trunk. Great idea! Excited to see more rooms!,1951
Sanders Memorial Disc Golf Course,"801 E 10th St, Anderson, IN 46012",46012,5,3,https://www.tripadvisor.com/Attraction_Review-g29311-d13277857-Reviews-Sanders_Memorial_Disc_Golf_Course-Anderson_Indiana.html,"Disc Golf Course free to play, 18-hole Rec/Int/Adv level course with multiple tees and pin locations.",Brand new course and it is my favorite course in the area now! Lots of variety and great exercise! Great for the whole family!,2308
Anderson Roll Arena,"2711 Broadway St, Anderson, IN 46012-1336",46012,4,6,https://www.tripadvisor.com/Attraction_Review-g29311-d3967682-Reviews-Anderson_Roll_Arena-Anderson_Indiana.html,Anderson Roll Arena,1 worker was rude and mean to young teen kids and even making them cry thanks  Donny because a hat when many others had hats also  making a kid leave family birthday party,3025
Killbuck Golf Course,"3181 N 200 E The State IS Indiana Not South Carolina, Anderson, IN 46012-9612",46012,3,5,https://www.tripadvisor.com/Attraction_Review-g29311-d6888523-Reviews-Killbuck_Golf_Course-Anderson_Indiana.html,Killbuck Golf Course,"This course has a fun layout especially the back 9. I like how it is secluded with minimal houses on the course.  Wildlife seen for sure. Not premier conditions by any means but not a goat ranch either. For what you pay I think it is pretty good.  The clubhouse needs torn down and rebuilt, but probably a tall order given the probable lack of money at this place.",3359
Harrah's Hoosier Park Racing & Casino,"4500 Dan Patch Cir, Anderson, IN 46013-3165",46013,4,3036,https://www.tripadvisor.com/Attraction_Review-g29311-d630781-Reviews-Harrah_s_Hoosier_Park_Racing_Casino-Anderson_Indiana.html,"One of Indiana’s most renowned harness racing tracks, Harrah’s Hoosier Park delivers electric live racing thrills 160 days of the year and offers year-round simulcast wagering. The excitement continues at our 54,000-square-foot casino floor, a collection of dining options, including an all-American steakhouse, and a full-service Caesars Sportsbook.",Unless you are a High Roller you will not be able to afford bets on the tables. Min $25 a single bet! We are Las Vegas Craps and 3 card poker players and never seen a bet that high in Las Vegas unless you were a High Roller. Really Ceaser Hoosier Park! ,84
Indy Scream Park,"5211 S New Columbus Rd, Anderson, IN 46013-9568",46013,4,95,https://www.tripadvisor.com/Attraction_Review-g29311-d4573079-Reviews-Indy_Scream_Park-Anderson_Indiana.html,"Indy Scream Park Haunted House - Serving the Indianapolis, Indiana Metro - Indy Scream Park is Indianapolis, Indiana's SCARIEST haunted house! Indy Scream Park is 5 spectacular attractions in one, plus a monster midway complete with food, drinks, games, beer and more!",It gets better as it gets closer to Halloween. This is probably my favorite haunted attraction in the Indy area during Halloween season. ,677
White River Paintball,"5211 S New Columbus Rd, Anderson, IN 46013-9568",46013,4.5,11,https://www.tripadvisor.com/Attraction_Review-g29311-d4564684-Reviews-White_River_Paintball-Anderson_Indiana.html,White River Paintball is Indiana's Largest Paintball Facility.,Bought my son and a few of his friends out for some paint balling. They had a lot of fun and want to come back again when we are in Anderson. We live in Indianapolis,2036
Meadowbrook Golf Course,"3429 S Madison Ave, Anderson, IN 46013-4138",46013,5,1,https://www.tripadvisor.com/Attraction_Review-g29311-d15056951-Reviews-Meadowbrook_Golf_Course-Anderson_Indiana.html,Meadowbrook Golf Course,"This is probably the best kept open to the public golf course in Madison county. This course is a little short but very challenging for men, women and juniors. Play it once and it will become one of your favorites like it is mine.",2817
Cooper's Sport Bowl,"1920 E 53rd St, Anderson, IN 46013-2899",46013,3,2,https://www.tripadvisor.com/Attraction_Review-g29311-d4789240-Reviews-Cooper_s_Sport_Bowl-Anderson_Indiana.html,Cooper's Sport Bowl,"We love this place,they just need to improve the prizes in the game room,Muncie excapades is much better if you are looking for better prizes and it is much cheaper,too,but,no bowling!Great help and love the bumpers!",3210
Gunslingers,"1107 E 24th St, Anderson, IN 46016-4626",46016,4.5,4,https://www.tripadvisor.com/Attraction_Review-g29311-d9747499-Reviews-Gunslingers-Anderson_Indiana.html,Gunslingers,Overall nice range. A little tight. No tables for gear. Poor ventilation. Dim lighting in staging area.,2250
Mounds State Park,"4306 Mounds Rd, Anderson, IN 46017-1837",46017,4.5,241,https://www.tripadvisor.com/Attraction_Review-g29311-d2393841-Reviews-Mounds_State_Park-Anderson_Indiana.html,"Mounds State Park, located off I-69 east of Anderson, features 10 unique earthworks built by prehistoric Indians known as the Adena-Hopewell people. The largest earthwork, the Great Mound, is believed to have been constructed around 160 B.C. Archaeological surveys indicate the mounds were used as gathering places for religious ceremonies, from where astronomical alignments could be viewed. Be sure to visit our Nature Center, which includes a wildlife viewing room, animal displays, interactive games and more. Hours are 9 am to 4 pm daily. Naturalist-led hikes and interpretive programs are offered every weekend throughout the year.","The camp sites are mixed between full shade, full sun w no trees, and in between. The shaded ones are nice but sites are a bit crowded together. The main thing I didn’t like is there is one bath house and they close it to clean it from 9:30-10:30, which is peak time for those needs. I hated waking up every morning and not being able to use the bathroom even to pee.",37
Wilson Farm Market,"1720 E 256th St, Arcadia, IN 46030-9572",46030,4,12,https://www.tripadvisor.com/Attraction_Review-g29314-d17396857-Reviews-Wilson_Farm_Market-Arcadia_Hamilton_County_Indiana.html,Wilson Farm Market,Rude Take a drive to shipsee instead.,1411
Nickel Plate Express,"105 E Main St, Atlanta, IN 46031-9778",46031,3.5,8,https://www.tripadvisor.com/Attraction_Review-g29320-d17334360-Reviews-Nickel_Plate_Express-Atlanta_Hamilton_County_Indiana.html,"Nickel Plate Express is a nonprofit founded in northern Hamilton County in 2017. Our goal is to preserve the rich railroad history of surrounding communities through educational and entertainment rail programs. Nickel Plate Express also aims to spur economic growth and increase tourism traffic to the northern portion of Hamilton County— specifically Cicero, Arcadia and Atlanta.","One and a half hours on a historic train with seven friends, while enjoying bourbon, samples, and chocolate. Absolute perfection!",2404
Atlanta Pub,"225 N Walnut St, Atlanta, IN 46031-9597",46031,5,2,https://www.tripadvisor.com/Attraction_Review-g29320-d5842798-Reviews-Atlanta_Pub-Atlanta_Hamilton_County_Indiana.html,Atlanta Pub,,2688
The Center for the Performing Arts,"1 Center Grn, Carmel, IN 46032-3809",46032,4.5,173,https://www.tripadvisor.com/Attraction_Review-g36990-d2520949-Reviews-The_Center_for_the_Performing_Arts-Carmel_Hamilton_County_Indiana.html,"The Center for the Performing Arts is a nonprofit organization responsible for the operation and programming of a multidisciplinary performing arts campus in Carmel, Indiana. The facilities include the Palladium, a state-of-the-art 1,600-seat concert hall; the Tarkington, a 500-seat proscenium theater; and the Studio Theater, a versatile black box with a seated capacity of 200. The Center presents scores of events each year and provides space and support services for six resident companies: Actors Theatre of Indiana, Carmel Symphony Orchestra, Central Indiana Dance Ensemble, Civic Theatre, Gregory Hancock Dance Theatre, and Indiana Wind Symphony.",,206
Carmel Christkindlmarkt,"10 Carter Grn, Carmel, IN 46032-3807",46032,5,14,https://www.tripadvisor.com/Attraction_Review-g36990-d19596582-Reviews-Carmel_Christkindlmarkt-Carmel_Hamilton_County_Indiana.html,"The holidays are more magical than ever in Hamilton County, Indiana. Enjoy old-world holiday charm in Carmel, Indiana, at the Carmel Christkindlmarkt (pronounced Chris-t-Kindle-Mark-t). Find the Carmel Christkindlmarkt at Center Green, between the Palladium concert hall and the Tarkington theater. Beneath twinkling lights, browse more than 50 wooden huts selling authentic products imported from Germany, like wooden toys, nutcrackers, music boxes, ornaments and more. Don’t miss the collectible items like the boot mug and Bierkrüge for adult beverages. While you’re shopping, sip a hot mug of Glühwein (mulled wine) or hot cocoa. Come hungry to enjoy a German pretzel, Bratwurst, Lebkuchen (German cookie), Raclette (melted cheese served on bread) and Stollen (dried fruit bread).",,302
Museum of Miniature Houses and Other Collections,"111 E Main St, Carmel, IN 46032-1823",46032,4.5,53,https://www.tripadvisor.com/Attraction_Review-g36990-d3591412-Reviews-Museum_of_Miniature_Houses_and_Other_Collections-Carmel_Hamilton_County_Indiana.html,"From a replica of a real French chateau to a working loom one could hold in the palm of one's hand, the Museum of Miniature Houses features a vast collection of exquisite miniature houses, vignettes and artisan pieces. ""I had no idea anything like this existed!"" is a phrase often heard from newcomers, who marvel at the intricacy involved in creating objects on such a small scale. Children and teens love doing the treasure hunts and the little ones get to play with a real dollhouse. In addition to a permanent collection, the Museum has rotating exhibits that change frequently. If you are a miniaturist yourself you can visit our well-stocked shop (no admission fee necessary for shoppers.) Touring the Museum of Miniature Houses is a truly unique experience, one which the whole family can enjoy.",,342
Peace Water Winery,"37 W Main St, Carmel, IN 46032-1763",46032,4.5,58,https://www.tripadvisor.com/Attraction_Review-g36990-d7174397-Reviews-Peace_Water_Winery-Carmel_Hamilton_County_Indiana.html,"Local Roots, California Wines (and vibes!) Love tasting great wine in a fun, laid-back, eclectic atmosphere? This is the place! We are a locally-owned winery with a social cause (actually 8 social causes). 50% of our profits are being donated to charities selected by our 8 kids. So come enjoy our wines we hand-craft in the heart of Napa Valley and learn how ""One bottle does a world of good!""",,351
Coxhall Gardens,"2000 W 116th St, Carmel, IN 46032-9234",46032,4.5,60,https://www.tripadvisor.com/Attraction_Review-g36990-d6934997-Reviews-Coxhall_Gardens-Carmel_Hamilton_County_Indiana.html,Coxhall Gardens,,366
Carmel Arts and Design District,"Main Street, Carmel, IN 46032",46032,4.5,164,https://www.tripadvisor.com/Attraction_Review-g36990-d4500594-Reviews-Carmel_Arts_and_Design_District-Carmel_Hamilton_County_Indiana.html,Carmel Arts and Design District,"This should be a wonderful, live, energetic shoebox hall on par with Boston and Vienna but they leave the curtains exposed during symphonic concerts shutting down all the reverberance.  No envelopment, no liveness.  They spent a lot on the design and aren't using it. ",373
The Waterpark at the Monon Community Center,"1235 Central Park Dr E, Carmel, IN 46032-4421",46032,4.5,93,https://www.tripadvisor.com/Attraction_Review-g36990-d2332161-Reviews-The_Waterpark_at_the_Monon_Community_Center-Carmel_Hamilton_County_Indiana.html,"The Waterpark is your one-of-a-kind, family-friendly destination this summer and boasts a 3.5-acre aquatic experience. Surf the waves on the FlowRider®, scale the wall of the AquaClimb®, and enjoy your own private cabana in style. Other amenities include two adventure slides, a plunge slide, lazy river, kiddie pool and tot slide, lap pool, and activity pool. The Waterpark is included with a membership to the Monon Community Center, or you can come visit for the day for an affordable price.",,390
Mr. Muffin's Trains,"146 W Carmel Dr Just West of Rangeline Rd, Carmel, IN 46032-2526",46032,4.5,22,https://www.tripadvisor.com/Attraction_Review-g36990-d8376065-Reviews-Mr_Muffin_s_Trains-Carmel_Hamilton_County_Indiana.html,"Sorry for your trip and us not being there. I can’t think of a single day we were scheduled in July that we were not there. The store is open 10-5 Tuesday through Friday, and 10-3 on Saturday. The layout is only open Saturdays 10-3pm ","For 2 decades, I have wanted to visit this museum and am I ever delighted that I finally did.",585
Art on Main Gallery & Gifts,"111 West Main Steet, Carmel, IN 46032-1910",46032,5,8,https://www.tripadvisor.com/Attraction_Review-g36990-d13344727-Reviews-Art_on_Main_Gallery_Gifts-Carmel_Hamilton_County_Indiana.html,Art on Main Gallery & Gifts,Loved the venue. Cool gathering area inside and nice patio. Live music on the Saturday afternoon we were there.  It was hot but a big fan provided a nice breeze. ,709
